,TrialNumber,Parameters,learning_rate,MAPE
0,1,8-1000-0.5,,0.035835363346996316
1,2,8-1000-0.1,,0.021138465535629963
2,3,8-1000-0.05,,0.006923094968868919
3,4,8-1000-0.01,,0.017852149253775238
4,5,8-1000-0.005,,0.03618738341373505
5,6,8-1000-0.001,,0.01673962866334207
6,7,8-1000-0.0005,,0.021186489354021665
7,8,8-1000-0.0001,,0.012671535245686502
8,9,12-1000-0.5,,0.0074234785772745475
9,10,12-1000-0.1,,0.02376390477960862
10,11,12-1000-0.05,,0.017054289725446647
11,12,12-1000-0.01,,0.04397657559804285
12,13,12-1000-0.005,,0.02990275085687827
13,14,12-1000-0.001,,0.01967939513580896
14,15,12-1000-0.0005,,0.011333995688978889
15,16,12-1000-0.0001,,0.009139518675012092
16,17,20-1000-0.5,,0.01659082154604105
17,18,20-1000-0.1,,0.04013167069936053
18,19,20-1000-0.05,,0.04710127256083766
19,20,20-1000-0.01,,0.018290278300647153
20,21,20-1000-0.005,,0.016954250973848395
21,22,20-1000-0.001,,0.028007173423254327
22,23,20-1000-0.0005,,0.015177688286370469
23,24,20-1000-0.0001,,0.01948066536038889
24,25,24-1000-0.5,,0.034408983851026385
25,26,24-1000-0.1,,0.022100589649108826
26,27,24-1000-0.05,,0.024986378043768853
27,28,24-1000-0.01,,0.022489404161233448
28,29,24-1000-0.005,,0.024603937456358565
29,30,24-1000-0.001,,0.012065704958340995
30,31,24-1000-0.0005,,0.018757390548862465
31,32,24-1000-0.0001,,0.028511743840419504
